2021-06-29 10:18:48,989 p=50962 u=root n=ansible | PLAY [all] *********************************************************************************************************************
2021-06-29 10:18:50,950 p=50962 u=root n=ansible | TASK [Gathering Facts gather_subset=['all'], gather_timeout=10] ****************************************************************
2021-06-29 10:18:50,952 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-2.fyre.ibm.com]
2021-06-29 10:18:51,088 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-1.fyre.ibm.com]
2021-06-29 10:18:51,200 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-3.fyre.ibm.com]
2021-06-29 10:18:51,840 p=50962 u=root n=ansible | TASK [Set the timezone hwclock=UTC, name=Europe/London, _ansible_check_mode=False, _ansible_no_log=False, _ansible_debug=False, _ansible_diff=False, _ansible_verbosity=0, _ansible_version=2.9.6, _ansible_module_name=timezone, _ansible_syslog_facility=LOG_USER, _ansible_selinux_special_fs=['fuse', 'nfs', 'vboxsf', 'ramfs', '9p', 'vfat'], _ansible_string_conversion_action=warn, _ansible_socket=None, _ansible_shell_executable=/bin/sh, _ansible_keep_remote_files=False, _ansible_tmpdir=/tmp/ansible-tmp-1624958331.0384483-111281349263027/, _ansible_remote_tmp=/tmp] ***
2021-06-29 10:18:51,840 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-2.fyre.ibm.com]
2021-06-29 10:18:51,861 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-1.fyre.ibm.com]
2021-06-29 10:18:52,133 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-3.fyre.ibm.com]
2021-06-29 10:18:52,583 p=50962 u=root n=ansible | TASK [Set nofile limit for non-root domain=*, limit_type=-, limit_item=nofile, value=10240, _ansible_check_mode=False, _ansible_no_log=False, _ansible_debug=False, _ansible_diff=False, _ansible_verbosity=0, _ansible_version=2.9.6, _ansible_module_name=pam_limits, _ansible_syslog_facility=LOG_USER, _ansible_selinux_special_fs=['fuse', 'nfs', 'vboxsf', 'ramfs', '9p', 'vfat'], _ansible_string_conversion_action=warn, _ansible_socket=None, _ansible_shell_executable=/bin/sh, _ansible_keep_remote_files=False, _ansible_tmpdir=/tmp/ansible-tmp-1624958331.8740306-74912494000123/, _ansible_remote_tmp=/tmp] ***
2021-06-29 10:18:52,583 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-2.fyre.ibm.com]
2021-06-29 10:18:52,613 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-1.fyre.ibm.com]
2021-06-29 10:18:52,844 p=50962 u=root n=ansible | ok: [jc-ansible-rdqm-rdqm-node-3.fyre.ibm.com]
